,index,id,landmarks
1454,106258,b261823f762b365b,102375
1458,106624,efa13ab09f99112f,170077
1462,106796,c42a82e64489d38a,83504
1464,106803,228c1c7996ee2b33,21232
1467,106955,7909c7d78a1ae9d5,169021
1473,107151,5c3e2b7e7783e30f,17716
1487,108359,4e88e33a61f40025,67352
1493,108710,bf1aaa7f5e89181a,97125
1494,108819,af843a3026e8ff89,194198
1505,109557,fcc79561151eac32,164862
1512,110014,1f8b39ae0beaafb3,94077
1527,111060,f55d65aad0d717f3,115500
1530,111355,13096b776fcd1ec3,127514
1531,111429,a951a2c12f116809,73323
1535,111638,abd69bd25e483bac,142296
1539,111834,1e54cc27508c6fc3,18679
1541,111900,85e2e558c8efd4b2,41447
1555,112744,169e97e511bf093a,22077
1564,113750,03182100f70cf0cf,44991
1567,113789,655351ebf710d769,170084
1570,113853,8f3c8cd89a68bebc,129572
1571,113910,961d9bf20e6228b3,73323
1582,114346,664cf7c6400886ac,135591
1590,114959,9bdc4f4fc161e166,2220
1598,115565,cf4880c606b879a3,76260
1610,116156,8d99133803e95dcd,123095
1615,116459,2f0049fd920e312f,76260
1616,116696,b538c64a0fa37d8a,160333
1617,116804,4e4e7fdca971442f,95197
45,4141,b789432173666250,180346
84,5978,89b12ae28e5f957a,122610
116,8260,55043bbe6aeb4b88,67853
246,18974,c1fa5030dc91d5d1,173363
268,20814,99a98fa7840e74c7,67352
288,22163,edf47a477b28e6e4,21613
308,23291,0bd3cbd440f97f4e,49952
350,26746,e2489661b76ffa0b,28364
359,27594,e82578e28d08cdb4,171603
387,30486,6fd10cd1cc93b446,20343
413,32148,68fb522acd2366e5,170084
459,34848,e1ce02fe9a759b8b,122228
490,37346,5f5a7b3e3f2c17ca,84065
541,40351,49a4cc2f39c860c8,2220
557,41107,9eea571c1a1769f1,7223
598,45194,ba9469786929c98b,68740
604,45409,fd0ec8929a140fb7,129996
664,49635,8cb92a48233d7666,200097
717,53856,73bc0f6de9e31ec1,146388
719,53918,602cb3c41e158537,86636
732,54350,d7e65734fcb9be68,17716
765,56513,d8241c26d403d28a,160333
841,61529,0b86183b84ffbd2e,188225
850,62482,7b04659bc6a2f00f,18679
853,62575,c56dafaad76a16f1,86283
876,64452,a517b25cc470d439,9771
886,65212,cfe75ccdb31b8b41,15688
895,65516,f1176d59a0a85816,81405
984,70949,2d7adfb3826b7d90,28604
989,71245,572e6ae33e1978d8,65818
1017,73229,360b62ecf7b149fc,6798
1048,75066,f1b799731b897930,11868
1053,75384,9c9ee91c4df54a20,65818
1129,80195,ba4c871a55313fbc,47378
1151,81337,0ff068fbbd9cdfc5,59742
1160,81709,7aa6a9f22b0ae5ca,132969
1206,85830,db3b1d327d3fee6d,9771
1320,94198,b6958a93159b8164,173363
1424,103086,13c0c229c518b149,47378
1427,103311,75ffd43a0feb3c87,142970
1480,107877,7bbca8e19bf3bcaf,170670
1509,109871,1f2849be3e77e1ad,132969
1576,114033,d92ff77f49c1d688,8078
1588,114807,1538006e79f2e5f6,4465
1604,115941,881265f419d421e7,201932
1605,116000,daf844796b7502a3,135822
1607,116016,cf546ce1616242e1,24968
1612,116215,9a5c8d7a58c49b0c,94881
1621,117222,e351c3e672c25fbd,190441
8,608,d4122c50ef0447b6,182735
96,6733,d55ede9e7d5722ed,44991
102,7104,b3ad742cd7614089,113600
103,7120,7e26bdb075eca439,189232
113,8173,09032988bde9e0b2,113600
142,10150,f419c0e5df7fca11,80801
160,12236,7fb0a6daaa470e41,153429
164,12627,7101e0ef76e0d96c,4465
196,15524,8e88d3c0e9f938fb,8198
205,16198,d6d206bbeb322b9c,3092
335,24969,f5608e698c271cc3,169021
354,27164,622324b84ba70772,150996
369,28616,a31cd2ac94644ece,200608
410,32019,c68bebb32d9061e4,143362
500,37686,16abd57ac5c2b708,145268
655,48728,49dff93262d32423,68041
702,52788,09be107229690d64,132969
724,54130,2b22f3a0da6cd227,160426
801,58813,a61ba95b2b57c2d5,76344
851,62524,0403f643126c5766,108146
858,62955,22bfb90a79fe8ec6,99851
915,66595,1720a587314bf2ae,149151
919,66773,780d1df62ae77757,146388
932,67547,ac308efa7a0837fd,57015
962,69698,88ff5c9cf252e355,38892
998,71820,b19337e20ffe86fc,14160
1003,72158,0b0f7554dd8784cb,114046
1061,76056,652b74a5dae8255b,159618
1074,77132,93ba6aa1763a3018,150977
1176,83550,04ab9004b863898f,4465
1214,86362,2ad3199df216619a,188560
1272,90603,afbd3c92766c470f,80801
1278,90843,b6105ee63b569aaa,195366
1455,106267,2cc2de1c258f71bd,94881
1515,110398,c175a5f2f84bafd3,161213
1548,112354,d63acfd7d3bfbfe6,170235
1578,114108,7ca1a27ee60bcd0a,13975
1597,115451,790c436b67cd7f23,173363
95,6704,68cf2bf152f288a6,190638
219,17014,66cde16828846280,189232
243,18516,1f5748ec69df8da5,6363
270,20876,bad809f9ba9bb5a3,4072
292,22408,e89b231c4dba94c7,49486
362,27956,44bf044605c95411,112189
393,31145,12cd8c34a21dd16b,134010
464,35057,9e9018786049b73b,6798
793,58401,2e941d71bccd55a5,55985
806,59081,7033ffbaea8ed3ce,122610
1049,75129,4cb0953dab65eea8,168098
1058,75809,fed27ab4e4b89481,147873
1138,80721,e49e4d38ef31d8ca,90396
1220,86870,81f03de1c03b7035,141495
1283,91088,473acae7c36dab3a,122610
1403,101248,01b4c4975d1bebbe,105914
1456,106300,db0bc1654ad63b53,80801
1498,109180,b00c1d84bb5a82f9,10934
22,2178,4b130bb610c8b42b,4465
151,11331,433afdfd4bfa3501,11362
176,13614,ffb670f752aa25d2,200761
263,20384,5cfe2a9582fe2961,40981
348,26678,7dcc22ce45a24057,113600
465,35058,c35ff2324203e090,93106
496,37622,c285c098e2ea0299,80801
523,39134,04b5907da759ef3f,107743
542,40384,3dc694d57d704c94,142970
637,47702,f061ebd1c35a0ca9,85699
645,48160,2421c2c0b45a6903,65818
746,55380,45722f55657fb155,31880
784,57813,42f62bb231d26f5c,172564
792,58330,542c389f55a9bb60,86283
795,58451,f70d02e3c6d3148a,179171
830,60578,02cb34a8dc4030da,135591
892,65336,921a776f5f207841,20343
916,66700,e428f71bafd266fb,165596
939,68164,25bb91b553f675b3,186534
972,70494,ea03f54b1d2d3092,162552
1229,87813,fdd252a2f5a618b7,93106
1523,110926,16989ebb44381b28,146570
1579,114172,b431e0ed3e082228,116563
