,id,0,1,2,3,4
355,5aed7c314f958601,13975,174275,174275,73534,8589
358,4b3b23d082098934,135993,5088,90504,90504,135993
360,a91dad4c83259255,33636,33636,33636,33636,33636
361,3232c7cd906730a3,35910,176118,193258,41783,26717
364,be4baf42da3b0d36,39334,39334,39334,39334,39334
366,7d634cc679371625,134784,134784,202944,120442,134784
368,93df4535ebabebb9,105914,105914,33206,33206,109880
373,d053a13a27cce1ec,94881,94881,94881,7738,94881
374,54a4db33f7363d29,184268,124703,110751,126811,100820
378,d42f184ea786e9aa,4072,4072,4072,160399,117366
379,db99c0222b8eca8d,76260,70050,13879,136302,84487
384,784d4e8bab582f2d,2586,2586,2586,2586,2586
385,929bccf38554d9ee,24958,24958,16124,117772,24958
388,e66bde006421714b,95628,95628,68703,197321,189810
396,0044d82ea7654ece,22363,4464,47829,54222,114407
399,3235b2d1a854f4f1,189232,189232,72442,72442,95687
401,ba026f6c8569900b,117493,29228,27528,113838,78405
403,fcb7c2c0d9f65370,151635,83653,151635,74227,151635
407,45681411185f7bad,41270,61450,32213,108816,181174
411,9f6871ddea77eab2,200097,200097,58513,200097,27782
417,43d67fcb41e0323a,170670,170670,170670,170670,170670
419,4def0a7f848e6907,39187,39187,4423,52599,39187
429,d886922b96aa98eb,169021,169021,85807,85807,132353
435,4a44fc03d4c83fcc,13975,13975,13975,13975,190934
445,e4f9041bb2e9515c,123095,123095,123095,123095,123095
447,6a4d13988051ac6e,67853,67853,67853,67853,67853
458,f832860c32f2b04e,165596,41783,35910,165596,165596
461,426925fbb0f3b731,3092,3092,117632,154880,121680
470,37549d3886905320,17716,50958,610,132213,136000
473,ce05dbdb084368ea,9771,99133,194749,14550,88269
489,0cc77de7ae2ff9eb,108146,14921,108146,108146,108146
512,c29370884d8f3a67,95841,178270,79790,77883,197414
513,f176e0fe5888f2d4,39334,39334,39334,39334,5088
514,0b379a8d06ac425f,44991,200097,14065,14065,14065
517,aeca3e35bce2fa7d,75871,78269,297,31837,33674
519,7e77ce1f29338f90,18679,18679,18679,201778,190595
528,8537cf851c79b96b,122610,122610,122610,122610,122610
532,5b33dec7a48f7292,45221,45221,124000,25152,4407
534,279855baeabc9386,6720,73266,162469,40088,182217
536,c01d128612ec2a42,14051,106151,20551,31531,113428
539,e81e898e83a2b5ad,122228,22082,122228,130864,195112
548,5eeb70c23801e16d,39334,39334,39334,39334,135993
552,063f875880dd09c5,159618,159618,197574,193433,104486
553,feabe9fbe94e8d4f,75005,84939,75005,84939,176956
564,1fdedb545054c992,23777,23777,23777,23777,23777
576,f89919387a8f06bc,23777,23777,23777,23777,23777
580,c57be9f2b41c51ab,151271,151271,182523,191934,113462
584,ac6eeda01853c434,142296,142296,200954,142296,150996
593,4ea439dd013becc6,8078,161893,192594,108110,82671
606,76f6a1ad75de0c8d,4072,31862,49961,8297,164878
622,bcd606af2662652b,134784,134784,86355,134784,183628
623,651297693f0eac0a,192223,192223,98731,191491,86140
625,57cb4bac366d8fa0,112793,28333,112793,141740,72146
632,cb1746bd3e7d53a7,33636,51536,33636,33636,33636
638,3cd278edcf9335ba,161396,139245,197419,111514,161396
639,9f5a43e194b2dadf,112793,112793,192532,4035,41584
646,945b1f36d7a6505a,112793,41584,94359,112947,42950
647,1378e2479baca9a1,39334,39334,39334,39334,39334
648,157d1c9628d1492c,114046,72162,56132,168653,120152
663,5ffd474f62502596,112793,112793,112793,112793,47804
677,4f9f419ab6905bd8,33636,33636,33636,33636,62914
687,1112e94d6ea56fdc,73323,73323,73323,73323,73323
695,777f9efff0fc6b81,119780,135210,28965,52029,153149
698,1f6c5f464af0390f,117635,47071,67856,101881,19191
708,470cbb836febde0c,3092,156356,16202,3092,71706
715,8982b9bdab72d897,44991,44991,44991,43314,44991
748,bdcb1545f95a11e8,6798,6798,51890,154524,89272
764,b03d5c2aad310c37,132860,132860,191978,87110,21334
769,60d78cb47c687aec,18679,190879,1607,34501,192870
770,68b14741276ac2ea,39650,148841,39650,21196,184553
773,8d9cbabc1fd03520,102621,142566,57897,102544,34701
780,f38e551406444d1c,10934,10934,71344,200900,110469
787,0af78c566709ed7f,129857,180708,129857,172647,31837
805,40e7309ec29e9d3a,83504,168505,83504,83504,83504
815,09350dd2a24acc46,168856,64837,33741,76465,142107
817,737992c0d5ede016,76260,76260,76260,76260,76260
820,af2264d29344b46b,182537,105415,23258,104085,81945
826,9141062f82be8f54,93957,50683,39938,56063,75478
832,dd9c17401bf3a515,127084,55450,82803,45993,68988
834,4ab9c7341be1288c,67352,28919,67352,67352,67352
835,0b0b516e65cf2d91,184268,163738,170027,31099,45993
837,49b38202fa65f28e,23777,23777,23777,47237,23777
843,48611fb93d554db7,161213,124673,113314,23293,135721
848,67e8022fb639bea7,51176,51176,124220,118832,188952
871,bb59232ac04865fa,6190,6190,6190,6190,6190
873,f4393f8f69d09a81,135591,135591,135591,165596,165596
874,2c81b8a750b68364,15688,15688,28444,37578,15688
883,3cee44a0b9aebfa5,94881,94881,94881,94881,94881
910,e95f9754443713c8,117640,117640,3406,38461,7462
912,6fc2e1f2fd1d8d9b,77298,47378,77298,5468,77298
914,3c15af1963f1c431,76260,76260,539,37386,163865
921,684a3bd2f0819e02,108146,108146,108146,108146,169189
927,67825ea49a77054c,171603,133179,171603,171130,31639
933,15ae471a04c8010c,170084,170084,170084,133425,172359
937,759e2e5c3c634d1a,133679,133679,177916,147376,3991
938,e8e62a3e45c0bfbb,135591,135591,135591,122610,135591
940,e4257519e162bc8b,122610,122610,122610,122610,122610
952,d9b75e66855bd4bc,99515,99515,99515,99515,99515
955,0289a20454afe4d2,141495,51181,74932,37245,196350
957,857906b73d4fbc65,23777,23777,23777,23777,23777
965,947e9df54b40406b,24968,27782,24968,49804,97339
973,6475a7fc3b4e56ab,169083,182237,72106,109885,8565
982,f39adf8f775ea394,141495,141495,51181,119352,114025
983,3ecf0b5b3f039169,171044,72146,119446,57051,57051
987,0978cf3481bfbdd4,169083,129650,19476,25589,85444
991,00d5b448fa93e1b8,4465,4465,57015,4465,31480
993,53f03f375a18652e,159618,92674,30730,124087,159618
1004,b5c94bd502a8372b,123095,123095,123095,123095,39012
1007,668c3b59b9d1c9ca,46442,46442,46442,187010,185012
1018,86fdc0d03a753ae0,151635,55058,151635,150925,150925
1020,33098e79ad2aaa98,8078,8078,180715,33730,52588
1031,025e21ed9fe16090,102621,9224,102621,102621,102621
1032,2d1542b5a4145970,33636,33636,33636,33636,33636
1033,a53bf4b12a19c2bd,4465,4465,42945,4465,1192
1042,1f074e38d54387a3,124675,124675,124675,124675,124675
1060,a93cb07ef50b854f,21232,85877,115774,52048,101377
1067,24360cfaaf424a94,22363,22363,41982,22363,14728
1068,fafe2b4e7883721a,20343,20343,52484,118869,78602
1077,72f6a7d79e1e5234,161396,40111,45993,163435,151814
1079,c28caf0c648dcab3,181959,146887,53291,59839,181959
1086,f6b904fafeb29ad6,167679,167679,7644,7644,167679
1107,ff265c261eb01c6c,95067,95067,95067,95067,95067
1112,25d3b8fb0b26af0b,39187,39187,39187,39187,39187
1115,d1fa0bc41c5dcb68,73323,73323,73323,73323,73323
1126,3935c308d0168bad,107743,170969,5917,91481,67884
1133,43f8fc9d911d44a7,142296,142296,142296,108824,142296
1139,3297224220825ffe,142296,142296,142296,142296,142296
1140,d0286eb23e686b38,3870,97551,77055,18488,175774
1142,96aa16405b53adb6,196358,196358,111100,111100,111100
1143,ef7e93dfbd134be8,176507,176507,125616,191044,143088
1153,d442fa048953d84a,4465,4465,62622,31480,62622
1161,70e4d5914222a174,128647,126061,128647,200887,181246
1164,95033f52bcce8a71,123095,123095,123095,123095,123095
1167,96bf7d4d1e928e7e,122610,122610,122610,122610,122610
1170,9d09cd3ded19defd,83504,83504,83504,83504,83504
1182,923424a03dbb7efb,102375,102375,102375,102375,102375
1187,28bfc144134bdba7,76260,76260,76260,76260,76260
1200,f7c644d450009a9e,59637,8973,17848,7851,127457
1212,9cfd9b1ece3e55a6,31880,8131,31880,8131,31880
1215,e9092dc3ebe645b3,3092,3092,41840,4116,2343
1223,1a770f44a04e3f9b,93106,93106,127765,166162,188352
1224,5f1c08a01ec523d1,160426,149737,171150,97228,68669
1226,9947623773a7ffc3,65818,135621,65818,65818,135621
1234,efa0946d672d2849,113600,8918,129957,142269,86140
1236,78ae45524b47b5bc,135591,135591,135591,135591,135591
1238,45ef9499a5286490,115482,31205,54424,9830,115482
1253,ebd7310f6470443d,51258,17400,51258,99515,33998
1255,ddda3e906a6fe207,189232,170672,189232,49488,9070
1269,142511dbe915e4c9,171603,171603,27532,138233,67619
1270,bc22bc3669269fb3,158966,158966,158966,158966,158966
1279,12f5478487b1dd92,71038,35802,164428,35951,118710
1284,d438a2b795c2a9ff,161292,135591,198184,159378,114547
1285,432b9d4c8a761910,168203,168203,125468,168203,168203
1289,fbf86c3adecdb989,22363,81579,14652,139331,155758
1290,75424b6d1b857e26,76502,190044,82764,51892,75142
1296,114a2315b391522f,188549,188549,133563,188549,160288
1300,57d2f1f029cec012,47378,18679,47378,67983,47378
1305,63cd6c6db0a582e2,136844,148860,172338,135677,79836
1315,6e99a7b3e5b603e9,138626,138626,138626,138626,138626
1330,9980e3ef9d0703b0,185158,141910,7283,141910,36359
1331,09777418eb3c6c5c,77405,55240,128265,3997,166421
1336,b62607952ce61290,200097,200097,200097,58513,78143
1337,027a19e10127d5c4,135993,39334,135993,135993,135993
1341,9a9a11a2a95ad3bc,16325,16325,16325,16325,51723
1345,35c6d7ea9379ea13,141495,114025,141495,56325,130352
1346,f9ca759ca45c33dd,197779,83721,79184,51394,46500
1347,88a84946fbf5d389,4072,4072,126382,35843,4072
1365,8dfe2934c0b86c5d,89672,89672,89672,89672,89672
1374,620f1065b5b1999b,86283,39855,107941,181631,111133
1389,f6ba469f0defb279,59637,59637,89256,78478,1236
1392,7f9615b89be44d8f,200608,200608,51198,81539,144616
1396,d83c8079a952503d,164147,113861,164147,156931,197587
1402,6aaded2b1e1e1a40,138626,138626,138626,138626,202440
1404,7d40f3c71fbd987a,145303,145303,108775,80596,145303
1405,1a920212f8211488,74275,74275,28444,74275,189993
1408,cd63d8a55ba5d3df,94054,129770,82763,126637,126637
1411,ae77760b8da64f6b,102400,104649,33515,102400,14135
1425,20102c7c47e641f2,114046,78859,202915,108472,108472
1429,2260d2c938c2adb2,6798,13617,115090,74953,17457
1430,be4ed48930fb79a8,45639,45639,14308,45639,45639
1431,a481dd37644cb7d8,150591,150591,150591,150591,150591
1434,e8498b30ed675b60,44991,44991,44991,44991,44991
1437,36fa1234e296f5a5,166831,47880,178591,54089,59634
1438,b831a55d487de41d,8078,152331,8078,8078,47910
1442,59c11e9d74500be5,46717,46717,46717,46717,46717
1443,53f3c77732e60f27,21613,51892,76502,87,23641
1445,37019158730d2597,92607,132567,132567,189502,132567
1452,f95a58e099db6d9b,33636,33636,33636,33636,33636
1454,b261823f762b365b,102375,102375,102375,102375,102375
1458,efa13ab09f99112f,170077,170077,92592,189248,104626
1462,c42a82e64489d38a,83504,83504,83504,83504,83504
1464,228c1c7996ee2b33,21232,166767,35956,166767,55459
1467,7909c7d78a1ae9d5,169021,169021,134622,169021,157070
1473,5c3e2b7e7783e30f,17716,148841,199209,87677,389
1487,4e88e33a61f40025,67352,118450,195382,67635,137981
1493,bf1aaa7f5e89181a,97125,27254,2075,2075,85646
1494,af843a3026e8ff89,194198,194198,14436,14160,194198
1505,fcc79561151eac32,164862,201051,33206,86205,127592
1512,1f8b39ae0beaafb3,94077,28383,19452,94077,28383
1527,f55d65aad0d717f3,115500,85238,171276,121367,57340
1530,13096b776fcd1ec3,127514,127514,127514,127514,127514
1531,a951a2c12f116809,73323,73323,73323,73323,73323
1535,abd69bd25e483bac,142296,142296,150996,142296,200954
1539,1e54cc27508c6fc3,18679,18679,18679,18679,66809
1541,85e2e558c8efd4b2,41447,47755,177870,129996,113209
1555,169e97e511bf093a,22077,22077,51536,5081,158844
1564,03182100f70cf0cf,44991,44991,44991,44991,44991
1567,655351ebf710d769,170084,35855,27,170084,27
1570,8f3c8cd89a68bebc,129572,180612,180612,199012,46136
1571,961d9bf20e6228b3,73323,73323,73323,73323,73323
1582,664cf7c6400886ac,135591,135591,135591,135591,171646
1590,9bdc4f4fc161e166,2220,87026,147998,66138,2220
1598,cf4880c606b879a3,76260,76260,76260,76260,76260
1610,8d99133803e95dcd,123095,123095,123095,185558,79534
1615,2f0049fd920e312f,76260,76260,76260,76260,76260
1616,b538c64a0fa37d8a,160333,160333,160333,160333,160333
1617,4e4e7fdca971442f,95197,95197,95197,95197,117669
45,b789432173666250,132184,180346,45993,104039,22082
84,89b12ae28e5f957a,84065,122610,20516,122610,122610
116,55043bbe6aeb4b88,36327,67853,193827,26476,67853
246,c1fa5030dc91d5d1,84853,173363,201364,71092,55977
268,99a98fa7840e74c7,69990,67352,86918,15634,67352
288,edf47a477b28e6e4,51329,21613,188354,102904,192479
308,0bd3cbd440f97f4e,107386,49952,49952,56132,107386
350,e2489661b76ffa0b,59742,28364,107164,128268,54833
359,e82578e28d08cdb4,67619,171603,17350,103082,17350
387,6fd10cd1cc93b446,91168,20343,24998,130535,118869
413,68fb522acd2366e5,174998,170084,83416,35855,158921
459,e1ce02fe9a759b8b,17716,122228,122228,122228,195112
490,5f5a7b3e3f2c17ca,152708,84065,20652,196577,26434
541,49a4cc2f39c860c8,166635,2220,84041,76394,45870
557,9eea571c1a1769f1,144761,7223,47686,35745,7223
598,ba9469786929c98b,42009,68740,137989,40136,107337
604,fd0ec8929a140fb7,47378,129996,47378,47378,47378
664,8cb92a48233d7666,27782,200097,200097,200097,200097
717,73bc0f6de9e31ec1,34556,146388,3803,89643,90331
719,602cb3c41e158537,201394,86636,86636,176670,149515
732,d7e65734fcb9be68,150389,17716,136000,17716,199209
765,d8241c26d403d28a,162042,160333,155982,111994,160333
841,0b86183b84ffbd2e,160694,188225,121281,153746,64424
850,7b04659bc6a2f00f,127358,18679,26066,185253,199700
853,c56dafaad76a16f1,47035,86283,86283,169346,180346
876,a517b25cc470d439,156821,9771,156821,127664,9771
886,cfe75ccdb31b8b41,26868,15688,15688,15688,15688
895,f1176d59a0a85816,174321,81405,156308,33515,21315
984,2d7adfb3826b7d90,40605,28604,66559,28604,124675
989,572e6ae33e1978d8,81550,65818,40072,162324,84136
1017,360b62ecf7b149fc,70616,6798,33054,169367,66548
1048,f1b799731b897930,192575,11868,54444,148064,67490
1053,9c9ee91c4df54a20,84422,65818,193446,135710,149270
1129,ba4c871a55313fbc,48385,47378,29379,47378,88782
1151,0ff068fbbd9cdfc5,77046,59742,174711,59742,44759
1160,7aa6a9f22b0ae5ca,127517,132969,128319,132969,18409
1206,db3b1d327d3fee6d,143104,9771,9771,141306,55810
1320,b6958a93159b8164,84853,173363,173363,84853,84853
1424,13c0c229c518b149,100951,47378,29379,47378,47378
1427,75ffd43a0feb3c87,97791,142970,60307,140477,75258
1480,7bbca8e19bf3bcaf,27861,170670,81918,158322,80939
1509,1f2849be3e77e1ad,69753,132969,132969,132969,132969
1576,d92ff77f49c1d688,107323,8078,81039,142012,164851
1588,1538006e79f2e5f6,146457,4465,190956,125017,109159
1604,881265f419d421e7,85480,201932,196768,90412,62089
1605,daf844796b7502a3,41170,135822,82227,106438,156760
1607,cf546ce1616242e1,53173,24968,49804,160421,54109
1612,9a5c8d7a58c49b0c,169933,94881,106924,139977,136569
1621,e351c3e672c25fbd,47663,190441,23777,23777,56062
8,d4122c50ef0447b6,189534,187370,182735,187370,87532
96,d55ede9e7d5722ed,181688,92371,44991,54145,97494
102,b3ad742cd7614089,129193,182003,113600,39213,176581
103,7e26bdb075eca439,114248,190573,189232,68681,12291
113,09032988bde9e0b2,119673,41170,113600,59108,52965
142,f419c0e5df7fca11,169965,185437,80801,187212,59232
160,7fb0a6daaa470e41,126382,162857,153429,153429,119254
164,7101e0ef76e0d96c,19851,141874,4465,126285,126285
196,8e88d3c0e9f938fb,198626,29102,8198,134844,202915
205,d6d206bbeb322b9c,42616,143050,3092,167030,76431
335,f5608e698c271cc3,107219,64792,169021,169021,64792
354,622324b84ba70772,26082,26106,150996,49620,79777
369,a31cd2ac94644ece,99460,5208,200608,104792,118317
410,c68bebb32d9061e4,28444,68096,143362,28444,190960
500,16abd57ac5c2b708,190644,192479,145268,17716,24994
655,49dff93262d32423,181239,134874,68041,38256,29893
702,09be107229690d64,100230,100230,132969,132969,132969
724,2b22f3a0da6cd227,177405,139868,160426,129203,104070
801,a61ba95b2b57c2d5,66809,99943,76344,30019,187734
851,0403f643126c5766,88136,85646,108146,79766,74228
858,22bfb90a79fe8ec6,71579,4305,99851,56379,128926
915,1720a587314bf2ae,161545,174877,149151,120885,104916
919,780d1df62ae77757,169368,110929,146388,98753,179736
932,ac308efa7a0837fd,122574,173576,57015,57015,122574
962,88ff5c9cf252e355,127667,186607,38892,38892,173291
998,b19337e20ffe86fc,159001,96412,14160,43884,135522
1003,0b0f7554dd8784cb,49804,139159,114046,139159,114046
1061,652b74a5dae8255b,108050,182846,159618,108050,108050
1074,93ba6aa1763a3018,81933,148486,150977,51576,148403
1176,04ab9004b863898f,170084,176899,4465,188374,125017
1214,2ad3199df216619a,26142,12040,188560,162490,157982
1272,afbd3c92766c470f,177007,37726,80801,38090,80801
1278,b6105ee63b569aaa,3425,187136,195366,181940,112386
1455,2cc2de1c258f71bd,146717,94259,94881,9229,183192
1515,c175a5f2f84bafd3,2106,17523,161213,140503,80402
1548,d63acfd7d3bfbfe6,49248,140319,170235,170235,51508
1578,7ca1a27ee60bcd0a,76496,150198,13975,194363,10798
1597,790c436b67cd7f23,84853,84853,173363,184038,190822
95,68cf2bf152f288a6,185286,72365,136193,190638,2735
219,66cde16828846280,178079,178079,178079,189232,89027
243,1f5748ec69df8da5,142819,112308,112308,6363,6363
270,bad809f9ba9bb5a3,164020,90685,180414,4072,158844
292,e89b231c4dba94c7,22903,22903,174130,49486,24346
362,44bf044605c95411,153104,104809,162547,112189,55780
393,12cd8c34a21dd16b,185558,185558,120687,134010,172063
464,9e9018786049b73b,194735,194735,65153,6798,33054
793,2e941d71bccd55a5,36428,85238,122004,55985,85238
806,7033ffbaea8ed3ce,105496,84065,166720,122610,196298
1049,4cb0953dab65eea8,67085,2797,28385,168098,168098
1058,fed27ab4e4b89481,88764,88764,40458,147873,42616
1138,e49e4d38ef31d8ca,31256,16658,145429,90396,90396
1220,81f03de1c03b7035,139902,102108,71298,141495,129459
1283,473acae7c36dab3a,101051,147365,134575,122610,78686
1403,01b4c4975d1bebbe,105488,134851,35879,105914,33206
1456,db0bc1654ad63b53,50353,85374,70336,80801,117874
1498,b00c1d84bb5a82f9,194749,167660,94269,10934,203056
22,4b130bb610c8b42b,29218,190956,8745,109159,4465
151,433afdfd4bfa3501,190956,188560,9453,35855,11362
176,ffb670f752aa25d2,83718,192583,11230,160756,200761
263,5cfe2a9582fe2961,115995,94648,86752,189222,40981
348,7dcc22ce45a24057,78110,133768,77351,147093,113600
465,c35ff2324203e090,14100,10096,122637,127765,93106
496,c285c098e2ea0299,123079,139721,160540,183839,80801
523,04b5907da759ef3f,91481,52875,9990,170969,107743
542,3dc694d57d704c94,54923,17573,116761,116761,142970
637,f061ebd1c35a0ca9,135477,14042,25192,94144,85699
645,2421c2c0b45a6903,114027,11153,52640,17721,65818
746,45722f55657fb155,131669,69019,1015,138877,31880
784,42f62bb231d26f5c,186534,186534,186534,186534,172564
792,542c389f55a9bb60,156045,47035,45689,107747,86283
795,f70d02e3c6d3148a,6923,191700,174130,43933,179171
830,02cb34a8dc4030da,139159,84065,52938,86751,135591
892,921a776f5f207841,48634,195366,61122,120570,20343
916,e428f71bafd266fb,170717,109169,69408,109169,165596
939,25bb91b553f675b3,4109,197047,105505,51242,186534
972,ea03f54b1d2d3092,102828,111734,119302,79184,162552
1229,fdd252a2f5a618b7,149425,160240,191516,160540,93106
1523,16989ebb44381b28,168098,167683,16925,43017,146570
1579,b431e0ed3e082228,56827,161902,57680,51272,116563
